chr,start,end,GeneID,gene.type,GeneName,variability
chr1,100828450,100828960,ENSG00000162688,protein_coding,AGL,DAE
chr1,101394965,101395724,ENSG00000170989,protein_coding,S1PR1,DAE
chr1,101396888,101397544,ENSG00000170989,protein_coding,S1PR1,DAE
chr1,104005425,104006250,ENSG00000060718,protein_coding,COL11A1,DAE
chr1,103391718,103392297,ENSG00000185946,protein_coding,RNPC3,DAE
chr1,11004140,11004940,ENSG00000142655,protein_coding,PEX14,DAE
chr1,11020955,11021341,ENSG00000142655,protein_coding,PEX14,DAE
chr1,10683350,10683925,ENSG00000130940,protein_coding,CASZ1,DAE
chr1,10685557,10685837,ENSG00000130940,protein_coding,CASZ1,DAE
chr1,10550125,10550975,ENSG00000175262,protein_coding,C1orf127,DAE
chr1,10615650,10616625,ENSG00000175262,protein_coding,C1orf127,DAE
chr1,10683350,10683925,ENSG00000175262,protein_coding,C1orf127,DAE
chr1,10685557,10685837,ENSG00000175262,protein_coding,C1orf127,DAE
chr1,109796080,109796767,ENSG00000179902,protein_coding,C1orf194,DAE
chr1,109796080,109796767,ENSG00000116299,protein_coding,KIAA1324,DAE
chr1,109767875,109768675,ENSG00000134243,protein_coding,SORT1,DAE
chr1,109796080,109796767,ENSG00000134243,protein_coding,SORT1,DAE
chr1,109835210,109835525,ENSG00000134243,protein_coding,SORT1,DAE
chr1,110319659,110319918,ENSG00000156097,protein_coding,GPR61,DAE
chr1,110319659,110319918,ENSG00000065135,protein_coding,GNAI3,DAE
chr1,110389725,110390375,ENSG00000134184,protein_coding,GSTM1,DAE
chr1,110389725,110390375,ENSG00000184371,protein_coding,CSF1,DAE
chr1,110319659,110319918,ENSG00000168710,protein_coding,AHCYL1,DAE
chr1,110944133,110944830,ENSG00000162775,protein_coding,RBM15,DAE
chr1,111097893,111098744,ENSG00000177301,protein_coding,KCNA2,DAE
chr1,111102875,111103375,ENSG00000177301,protein_coding,KCNA2,DAE
chr1,11689500,11690175,ENSG00000009724,protein_coding,MASP2,DAE
chr1,11700820,11701245,ENSG00000009724,protein_coding,MASP2,DAE
chr1,11708775,11709300,ENSG00000009724,protein_coding,MASP2,DAE
chr1,11645625,11646275,ENSG00000116649,protein_coding,SRM,DAE
chr1,11658875,11659300,ENSG00000116649,protein_coding,SRM,DAE
chr1,11659700,11660150,ENSG00000116649,protein_coding,SRM,DAE
chr1,11700820,11701245,ENSG00000116649,protein_coding,SRM,DAE
chr1,11708775,11709300,ENSG00000116649,protein_coding,SRM,DAE
chr1,11645625,11646275,ENSG00000171824,protein_coding,EXOSC10,DAE
chr1,11700820,11701245,ENSG00000171824,protein_coding,EXOSC10,DAE
chr1,11708775,11709300,ENSG00000171824,protein_coding,EXOSC10,DAE
chr1,11268419,11269230,ENSG00000198793,protein_coding,MTOR,DAE
chr1,11269255,11269845,ENSG00000198793,protein_coding,MTOR,DAE
chr1,11288527,11289171,ENSG00000198793,protein_coding,MTOR,DAE
chr1,11289339,11289616,ENSG00000198793,protein_coding,MTOR,DAE
chr1,11600286,11600650,ENSG00000198793,protein_coding,MTOR,DAE
chr1,11636366,11636958,ENSG00000198793,protein_coding,MTOR,DAE
chr1,11689500,11690175,ENSG00000198793,protein_coding,MTOR,DAE
chr1,11700820,11701245,ENSG00000198793,protein_coding,MTOR,DAE
chr1,11708775,11709300,ENSG00000198793,protein_coding,MTOR,DAE
chr1,11238725,11238840,ENSG00000171819,protein_coding,ANGPTL7,DAE
chr1,11700820,11701245,ENSG00000171819,protein_coding,ANGPTL7,DAE
chr1,11708775,11709300,ENSG00000171819,protein_coding,ANGPTL7,DAE
chr1,11677425,11677675,ENSG00000120942,protein_coding,UBIAD1,DAE
chr1,11689500,11690175,ENSG00000120942,protein_coding,UBIAD1,DAE
