chr,start,end,GeneID,gene.type,GeneName,variability
chr1,101285758,101285935,ENSG00000137992,protein_coding,DBT,Non.DAE
chr1,101285758,101285935,ENSG00000181656,protein_coding,GPR88,Non.DAE
chr1,102810112,102810849,ENSG00000231671,lincRNA,RP11-157N3.1,Non.DAE
chr1,103287235,103287613,ENSG00000243480,protein_coding,AMY2A,Non.DAE
chr1,10539503,10540103,ENSG00000120948,protein_coding,TARDBP,Non.DAE
chr1,10570460,10570692,ENSG00000120948,protein_coding,TARDBP,Non.DAE
chr1,107809920,107810550,ENSG00000134215,protein_coding,VAV3,Non.DAE
chr1,107819681,107819987,ENSG00000134215,protein_coding,VAV3,Non.DAE
chr1,109054478,109054659,ENSG00000162636,protein_coding,FAM102B,Non.DAE
chr1,109054985,109055257,ENSG00000162636,protein_coding,FAM102B,Non.DAE
chr1,109430725,109431056,ENSG00000134186,protein_coding,PRPF38B,Non.DAE
chr1,109438950,109439480,ENSG00000134186,protein_coding,PRPF38B,Non.DAE
chr1,109449458,109449696,ENSG00000134186,protein_coding,PRPF38B,Non.DAE
chr1,109430725,109431056,ENSG00000116266,protein_coding,STXBP3,Non.DAE
chr1,109438950,109439480,ENSG00000116266,protein_coding,STXBP3,Non.DAE
chr1,109449458,109449696,ENSG00000116266,protein_coding,STXBP3,Non.DAE
chr1,109430725,109431056,ENSG00000162641,protein_coding,AKNAD1,Non.DAE
chr1,109438950,109439480,ENSG00000162641,protein_coding,AKNAD1,Non.DAE
chr1,109449458,109449696,ENSG00000162641,protein_coding,AKNAD1,Non.DAE
chr1,109054478,109054659,ENSG00000121957,protein_coding,GPSM2,Non.DAE
chr1,109054985,109055257,ENSG00000121957,protein_coding,GPSM2,Non.DAE
chr1,109224187,109224398,ENSG00000121957,protein_coding,GPSM2,Non.DAE
chr1,109521204,109521514,ENSG00000121940,protein_coding,CLCC1,Non.DAE
chr1,109525122,109525502,ENSG00000121940,protein_coding,CLCC1,Non.DAE
chr1,109527501,109528119,ENSG00000121940,protein_coding,CLCC1,Non.DAE
chr1,109945914,109946202,ENSG00000215717,protein_coding,TMEM167B,Non.DAE
chr1,109948470,109948658,ENSG00000215717,protein_coding,TMEM167B,Non.DAE
chr1,109949885,109950179,ENSG00000215717,protein_coding,TMEM167B,Non.DAE
chr1,109945914,109946202,ENSG00000031698,protein_coding,SARS,Non.DAE
chr1,109948470,109948658,ENSG00000031698,protein_coding,SARS,Non.DAE
chr1,109949885,109950179,ENSG00000031698,protein_coding,SARS,Non.DAE
chr1,109652647,109653191,ENSG00000143126,protein_coding,CELSR2,Non.DAE
chr1,109945914,109946202,ENSG00000143126,protein_coding,CELSR2,Non.DAE
chr1,109948470,109948658,ENSG00000143126,protein_coding,CELSR2,Non.DAE
chr1,109949885,109950179,ENSG00000143126,protein_coding,CELSR2,Non.DAE
