chr,start,end,GeneID,gene.type,GeneName,variability
chr1,100755289,100755634,ENSG00000162688,protein_coding,AGL,Non.DAE
chr1,100755719,100756028,ENSG00000162688,protein_coding,AGL,Non.DAE
chr1,101285758,101285935,ENSG00000162688,protein_coding,AGL,Non.DAE
chr1,101669875,101670200,ENSG00000162695,protein_coding,SLC30A7,Non.DAE
chr1,102394400,102394599,ENSG00000230864,lincRNA,RP5-936J12.1,Non.DAE
chr1,102416401,102416883,ENSG00000230864,lincRNA,RP5-936J12.1,Non.DAE
chr1,103359779,103360014,ENSG00000185946,protein_coding,RNPC3,Non.DAE
chr1,103363010,103363580,ENSG00000185946,protein_coding,RNPC3,Non.DAE
chr1,103369012,103369218,ENSG00000185946,protein_coding,RNPC3,Non.DAE
chr1,103502771,103503500,ENSG00000185946,protein_coding,RNPC3,Non.DAE
chr1,103504962,103505280,ENSG00000185946,protein_coding,RNPC3,Non.DAE
chr1,103359779,103360014,ENSG00000240038,protein_coding,AMY2B,Non.DAE
chr1,103363010,103363580,ENSG00000240038,protein_coding,AMY2B,Non.DAE
chr1,103369012,103369218,ENSG00000240038,protein_coding,AMY2B,Non.DAE
chr1,103502771,103503500,ENSG00000240038,protein_coding,AMY2B,Non.DAE
chr1,103504962,103505280,ENSG00000240038,protein_coding,AMY2B,Non.DAE
chr1,109449458,109449696,ENSG00000134186,protein_coding,PRPF38B,Non.DAE
chr1,109652647,109653191,ENSG00000143126,protein_coding,CELSR2,Non.DAE
chr1,109945914,109946202,ENSG00000143126,protein_coding,CELSR2,Non.DAE
chr1,109948470,109948658,ENSG00000143126,protein_coding,CELSR2,Non.DAE
chr1,109949885,109950179,ENSG00000143126,protein_coding,CELSR2,Non.DAE
chr1,109945914,109946202,ENSG00000134222,protein_coding,PSRC1,Non.DAE
chr1,109948470,109948658,ENSG00000134222,protein_coding,PSRC1,Non.DAE
chr1,109949885,109950179,ENSG00000134222,protein_coding,PSRC1,Non.DAE
chr1,109945914,109946202,ENSG00000221986,protein_coding,MYBPHL,Non.DAE
chr1,109948470,109948658,ENSG00000221986,protein_coding,MYBPHL,Non.DAE
chr1,109949885,109950179,ENSG00000221986,protein_coding,MYBPHL,Non.DAE
chr1,110131706,110131926,ENSG00000134184,protein_coding,GSTM1,Non.DAE
chr1,110273203,110273569,ENSG00000198758,protein_coding,EPS8L3,Non.DAE
chr1,110520850,110521825,ENSG00000198758,protein_coding,EPS8L3,Non.DAE
chr1,110855206,110855350,ENSG00000197106,protein_coding,SLC6A17,Non.DAE
chr1,110984254,110984516,ENSG00000197106,protein_coding,SLC6A17,Non.DAE
chr1,111007950,111008151,ENSG00000116396,protein_coding,KCNC4,Non.DAE
chr1,111008197,111008449,ENSG00000116396,protein_coding,KCNC4,Non.DAE
chr1,111013800,111014300,ENSG00000116396,protein_coding,KCNC4,Non.DAE
chr1,111302925,111303475,ENSG00000143105,protein_coding,KCNA10,Non.DAE
chr1,111305392,111305566,ENSG00000143105,protein_coding,KCNA10,Non.DAE
chr1,111067250,111067725,ENSG00000177301,protein_coding,KCNA2,Non.DAE
chr1,111302925,111303475,ENSG00000177301,protein_coding,KCNA2,Non.DAE
chr1,111305392,111305566,ENSG00000177301,protein_coding,KCNA2,Non.DAE
chr1,111302925,111303475,ENSG00000177272,protein_coding,KCNA3,Non.DAE
chr1,111305392,111305566,ENSG00000177272,protein_coding,KCNA3,Non.DAE
chr1,11091691,11091891,ENSG00000116670,protein_coding,MAD2L2,Non.DAE
chr1,11098475,11098566,ENSG00000116670,protein_coding,MAD2L2,Non.DAE
chr1,11105600,11106020,ENSG00000116670,protein_coding,MAD2L2,Non.DAE
chr1,11113000,11113200,ENSG00000116670,protein_coding,MAD2L2,Non.DAE
chr1,11220481,11220686,ENSG00000116670,protein_coding,MAD2L2,Non.DAE
chr1,11091691,11091891,ENSG00000162490,protein_coding,DRAXIN,Non.DAE
chr1,11098475,11098566,ENSG00000162490,protein_coding,DRAXIN,Non.DAE
chr1,11105600,11106020,ENSG00000162490,protein_coding,DRAXIN,Non.DAE
chr1,11113000,11113200,ENSG00000162490,protein_coding,DRAXIN,Non.DAE
chr1,11220481,11220686,ENSG00000162490,protein_coding,DRAXIN,Non.DAE
chr1,11746025,11746617,ENSG00000215910,protein_coding,C1orf167,Non.DAE
chr1,112050278,112050594,ENSG00000197852,protein_coding,FAM212B,Non.DAE
chr1,112050278,112050594,ENSG00000064703,protein_coding,DDX20,Non.DAE
chr1,114201890,114202575,ENSG00000155363,protein_coding,MOV10,Non.DAE
chr1,114205910,114206690,ENSG00000155363,protein_coding,MOV10,Non.DAE
chr1,114218142,114218473,ENSG00000155366,protein_coding,RHOC,Non.DAE
chr1,114219973,114220300,ENSG00000155366,protein_coding,RHOC,Non.DAE
chr1,114236420,114236614,ENSG00000155366,protein_coding,RHOC,Non.DAE
chr1,114218142,114218473,ENSG00000271810,protein_coding,RP11-426L16.10,Non.DAE
chr1,114219973,114220300,ENSG00000271810,protein_coding,RP11-426L16.10,Non.DAE
chr1,114236420,114236614,ENSG00000271810,protein_coding,RP11-426L16.10,Non.DAE
chr1,114218142,114218473,ENSG00000155367,protein_coding,PPM1J,Non.DAE
chr1,114219973,114220300,ENSG00000155367,protein_coding,PPM1J,Non.DAE
chr1,114236420,114236614,ENSG00000155367,protein_coding,PPM1J,Non.DAE
chr1,114218142,114218473,ENSG00000184599,protein_coding,FAM19A3,Non.DAE
chr1,114219973,114220300,ENSG00000184599,protein_coding,FAM19A3,Non.DAE
chr1,114236420,114236614,ENSG00000184599,protein_coding,FAM19A3,Non.DAE
chr1,114201890,114202575,ENSG00000236066,lincRNA,RP11-389O22.1,Non.DAE
chr1,114205910,114206690,ENSG00000236066,lincRNA,RP11-389O22.1,Non.DAE
chr1,114188074,114188335,ENSG00000238198,lincRNA,RP11-31F15.2,Non.DAE
chr1,114188521,114188929,ENSG00000238198,lincRNA,RP11-31F15.2,Non.DAE
chr1,114189710,114190160,ENSG00000238198,lincRNA,RP11-31F15.2,Non.DAE
chr1,114219973,114220300,ENSG00000238198,lincRNA,RP11-31F15.2,Non.DAE
chr1,114223593,114223942,ENSG00000238198,lincRNA,RP11-31F15.2,Non.DAE
chr1,114226350,114226634,ENSG00000238198,lincRNA,RP11-31F15.2,Non.DAE
chr1,114226752,114227116,ENSG00000238198,lincRNA,RP11-31F15.2,Non.DAE
chr1,114227966,114228157,ENSG00000238198,lincRNA,RP11-31F15.2,Non.DAE
chr1,114229465,114229921,ENSG00000238198,lincRNA,RP11-31F15.2,Non.DAE
chr1,114147690,114148320,ENSG00000198799,protein_coding,LRIG2,Non.DAE
chr1,114188074,114188335,ENSG00000198799,protein_coding,LRIG2,Non.DAE
chr1,114188521,114188929,ENSG00000198799,protein_coding,LRIG2,Non.DAE
chr1,114189710,114190160,ENSG00000198799,protein_coding,LRIG2,Non.DAE
chr1,114192960,114193310,ENSG00000198799,protein_coding,LRIG2,Non.DAE
chr1,114201890,114202575,ENSG00000198799,protein_coding,LRIG2,Non.DAE
chr1,114205910,114206690,ENSG00000198799,protein_coding,LRIG2,Non.DAE
chr1,114218142,114218473,ENSG00000198799,protein_coding,LRIG2,Non.DAE
chr1,114219973,114220300,ENSG00000198799,protein_coding,LRIG2,Non.DAE
chr1,114223593,114223942,ENSG00000198799,protein_coding,LRIG2,Non.DAE
chr1,114226350,114226634,ENSG00000198799,protein_coding,LRIG2,Non.DAE
chr1,114226752,114227116,ENSG00000198799,protein_coding,LRIG2,Non.DAE
chr1,114227966,114228157,ENSG00000198799,protein_coding,LRIG2,Non.DAE
chr1,114229465,114229921,ENSG00000198799,protein_coding,LRIG2,Non.DAE
chr1,114236420,114236614,ENSG00000198799,protein_coding,LRIG2,Non.DAE
chr1,114273836,114274160,ENSG00000198799,protein_coding,LRIG2,Non.DAE
chr1,114276153,114276465,ENSG00000198799,protein_coding,LRIG2,Non.DAE
chr1,114482677,114483013,ENSG00000175984,protein_coding,DENND2C,Non.DAE
chr1,114483019,114483613,ENSG00000175984,protein_coding,DENND2C,Non.DAE
chr1,114489650,114489925,ENSG00000175984,protein_coding,DENND2C,Non.DAE
chr1,117014970,117015475,ENSG00000235933,lincRNA,RP5-1185H19.2,Non.DAE
chr1,117015500,117015560,ENSG00000235933,lincRNA,RP5-1185H19.2,Non.DAE
chr1,116681591,116681975,ENSG00000224950,lincRNA,RP5-1086K13.1,Non.DAE
chr1,117514275,117514391,ENSG00000116815,protein_coding,CD58,Non.DAE
chr1,117580380,117580860,ENSG00000116815,protein_coding,CD58,Non.DAE
chr1,117583400,117583475,ENSG00000116815,protein_coding,CD58,Non.DAE
chr1,117594064,117594400,ENSG00000116815,protein_coding,CD58,Non.DAE
chr1,117597703,117597950,ENSG00000116815,protein_coding,CD58,Non.DAE
chr1,117532970,117533775,ENSG00000143061,protein_coding,IGSF3,Non.DAE
chr1,117539198,117539370,ENSG00000143061,protein_coding,IGSF3,Non.DAE
chr1,117580380,117580860,ENSG00000143061,protein_coding,IGSF3,Non.DAE
chr1,117583400,117583475,ENSG00000143061,protein_coding,IGSF3,Non.DAE
chr1,117594064,117594400,ENSG00000143061,protein_coding,IGSF3,Non.DAE
chr1,117597703,117597950,ENSG00000143061,protein_coding,IGSF3,Non.DAE
chr1,117540101,117540658,ENSG00000134247,protein_coding,PTGFRN,Non.DAE
chr1,117545947,117546165,ENSG00000134247,protein_coding,PTGFRN,Non.DAE
chr1,117119418,117119759,ENSG00000134256,protein_coding,CD101,Non.DAE
chr1,119639933,119640221,ENSG00000155761,protein_coding,SPAG17,Non.DAE
chr1,119692455,119693078,ENSG00000155761,protein_coding,SPAG17,Non.DAE
chr1,118686225,118687075,ENSG00000092607,protein_coding,TBX15,Non.DAE
chr1,119099631,119100055,ENSG00000092607,protein_coding,TBX15,Non.DAE
chr1,118686225,118687075,ENSG00000226172,lincRNA,RP4-712E4.1,Non.DAE
chr1,118865115,118865364,ENSG00000226172,lincRNA,RP4-712E4.1,Non.DAE
chr1,118686225,118687075,ENSG00000239216,lincRNA,RP4-712E4.2,Non.DAE
chr1,118865115,118865364,ENSG00000239216,lincRNA,RP4-712E4.2,Non.DAE
chr1,118790244,118790544,ENSG00000116874,protein_coding,WARS2,Non.DAE
chr1,118795375,118796200,ENSG00000116874,protein_coding,WARS2,Non.DAE
chr1,120659810,120660580,ENSG00000092621,protein_coding,PHGDH,Non.DAE
chr1,120659810,120660580,ENSG00000134240,protein_coding,HMGCS2,Non.DAE
chr1,120659810,120660580,ENSG00000134193,protein_coding,REG4,Non.DAE
chr1,11895004,11895419,ENSG00000116688,protein_coding,MFN2,Non.DAE
chr1,12190448,12190906,ENSG00000048707,protein_coding,VPS13D,Non.DAE
chr1,12192199,12192825,ENSG00000048707,protein_coding,VPS13D,Non.DAE
chr1,12195667,12196000,ENSG00000048707,protein_coding,VPS13D,Non.DAE
chr1,12686874,12687250,ENSG00000048707,protein_coding,VPS13D,Non.DAE
chr1,12689325,12689950,ENSG00000048707,protein_coding,VPS13D,Non.DAE
chr1,12690000,12690175,ENSG00000048707,protein_coding,VPS13D,Non.DAE
chr1,12696776,12697218,ENSG00000048707,protein_coding,VPS13D,Non.DAE
chr1,12718880,12719175,ENSG00000048707,protein_coding,VPS13D,Non.DAE
chr1,12295676,12296493,ENSG00000162496,protein_coding,DHRS3,Non.DAE
chr1,12318291,12318839,ENSG00000162496,protein_coding,DHRS3,Non.DAE
chr1,12320646,12321230,ENSG00000162496,protein_coding,DHRS3,Non.DAE
chr1,12328413,12328639,ENSG00000162496,protein_coding,DHRS3,Non.DAE
