chr,start,end,GeneID,gene.type,GeneName,variability
chr1,103391718,103392297,ENSG00000243480,protein_coding,AMY2A,DAE
chr1,11004140,11004940,ENSG00000142655,protein_coding,PEX14,DAE
chr1,11020955,11021341,ENSG00000142655,protein_coding,PEX14,DAE
chr1,10769202,10770000,ENSG00000130940,protein_coding,CASZ1,DAE
chr1,10806100,10806287,ENSG00000130940,protein_coding,CASZ1,DAE
chr1,10806501,10807079,ENSG00000130940,protein_coding,CASZ1,DAE
chr1,10808853,10809221,ENSG00000130940,protein_coding,CASZ1,DAE
chr1,10809932,10810225,ENSG00000130940,protein_coding,CASZ1,DAE
chr1,10550125,10550975,ENSG00000175262,protein_coding,C1orf127,DAE
chr1,10615650,10616625,ENSG00000175262,protein_coding,C1orf127,DAE
chr1,107828116,107828732,ENSG00000134215,protein_coding,VAV3,DAE
chr1,109712048,109712990,ENSG00000215717,protein_coding,TMEM167B,DAE
chr1,109796080,109796767,ENSG00000179902,protein_coding,C1orf194,DAE
chr1,109796080,109796767,ENSG00000116299,protein_coding,KIAA1324,DAE
chr1,109490500,109491225,ENSG00000134243,protein_coding,SORT1,DAE
chr1,109835210,109835525,ENSG00000134243,protein_coding,SORT1,DAE
chr1,109835210,109835525,ENSG00000143106,protein_coding,PSMA5,DAE
chr1,110389725,110390375,ENSG00000181754,protein_coding,AMIGO1,DAE
chr1,110319659,110319918,ENSG00000156097,protein_coding,GPR61,DAE
chr1,110319659,110319918,ENSG00000065135,protein_coding,GNAI3,DAE
chr1,110389725,110390375,ENSG00000134183,protein_coding,GNAT2,DAE
chr1,110389725,110390375,ENSG00000116337,protein_coding,AMPD2,DAE
chr1,110175180,110175660,ENSG00000134202,protein_coding,GSTM3,DAE
chr1,110389725,110390375,ENSG00000134202,protein_coding,GSTM3,DAE
chr1,110117248,110117977,ENSG00000168710,protein_coding,AHCYL1,DAE
chr1,110319659,110319918,ENSG00000168710,protein_coding,AHCYL1,DAE
chr1,11700820,11701245,ENSG00000120948,protein_coding,TARDBP,DAE
chr1,11708775,11709300,ENSG00000120948,protein_coding,TARDBP,DAE
chr1,11700820,11701245,ENSG00000009724,protein_coding,MASP2,DAE
chr1,11708775,11709300,ENSG00000009724,protein_coding,MASP2,DAE
chr1,11700820,11701245,ENSG00000116649,protein_coding,SRM,DAE
chr1,11708775,11709300,ENSG00000116649,protein_coding,SRM,DAE
chr1,11734645,11735233,ENSG00000116649,protein_coding,SRM,DAE
chr1,11238725,11238840,ENSG00000171824,protein_coding,EXOSC10,DAE
chr1,11659700,11660150,ENSG00000171824,protein_coding,EXOSC10,DAE
chr1,11689500,11690175,ENSG00000171824,protein_coding,EXOSC10,DAE
chr1,11700820,11701245,ENSG00000171824,protein_coding,EXOSC10,DAE
chr1,11708775,11709300,ENSG00000171824,protein_coding,EXOSC10,DAE
chr1,11288527,11289171,ENSG00000198793,protein_coding,MTOR,DAE
chr1,11289339,11289616,ENSG00000198793,protein_coding,MTOR,DAE
chr1,11574099,11575012,ENSG00000198793,protein_coding,MTOR,DAE
chr1,11689500,11690175,ENSG00000198793,protein_coding,MTOR,DAE
chr1,11700820,11701245,ENSG00000198793,protein_coding,MTOR,DAE
chr1,11708775,11709300,ENSG00000198793,protein_coding,MTOR,DAE
chr1,11774599,11774900,ENSG00000198793,protein_coding,MTOR,DAE
chr1,11167648,11168476,ENSG00000171819,protein_coding,ANGPTL7,DAE
chr1,11207220,11208020,ENSG00000171819,protein_coding,ANGPTL7,DAE
chr1,11238725,11238840,ENSG00000171819,protein_coding,ANGPTL7,DAE
chr1,11268419,11269230,ENSG00000171819,protein_coding,ANGPTL7,DAE
chr1,11269255,11269845,ENSG00000171819,protein_coding,ANGPTL7,DAE
chr1,11700820,11701245,ENSG00000171819,protein_coding,ANGPTL7,DAE
chr1,11708775,11709300,ENSG00000171819,protein_coding,ANGPTL7,DAE
chr1,11426100,11426679,ENSG00000120942,protein_coding,UBIAD1,DAE
chr1,11559549,11559947,ENSG00000120942,protein_coding,UBIAD1,DAE
chr1,11567200,11567725,ENSG00000120942,protein_coding,UBIAD1,DAE
chr1,11623480,11624160,ENSG00000120942,protein_coding,UBIAD1,DAE
chr1,11677425,11677675,ENSG00000120942,protein_coding,UBIAD1,DAE
chr1,11689500,11690175,ENSG00000120942,protein_coding,UBIAD1,DAE
chr1,11700820,11701245,ENSG00000120942,protein_coding,UBIAD1,DAE
chr1,11708775,11709300,ENSG00000120942,protein_coding,UBIAD1,DAE
chr1,11288527,11289171,ENSG00000204624,protein_coding,PTCHD2,DAE
chr1,11289339,11289616,ENSG00000204624,protein_coding,PTCHD2,DAE
chr1,11306263,11306815,ENSG00000204624,protein_coding,PTCHD2,DAE
chr1,11352480,11353280,ENSG00000204624,protein_coding,PTCHD2,DAE
chr1,11372025,11372375,ENSG00000204624,protein_coding,PTCHD2,DAE
chr1,11376359,11377050,ENSG00000204624,protein_coding,PTCHD2,DAE
chr1,11399558,11400192,ENSG00000204624,protein_coding,PTCHD2,DAE
chr1,11700820,11701245,ENSG00000204624,protein_coding,PTCHD2,DAE
chr1,11708775,11709300,ENSG00000204624,protein_coding,PTCHD2,DAE
chr1,11288527,11289171,ENSG00000235643,lincRNA,RP1-69M21.2,DAE
chr1,11289339,11289616,ENSG00000235643,lincRNA,RP1-69M21.2,DAE
chr1,11352480,11353280,ENSG00000235643,lincRNA,RP1-69M21.2,DAE
chr1,11372025,11372375,ENSG00000235643,lincRNA,RP1-69M21.2,DAE
chr1,11376359,11377050,ENSG00000235643,lincRNA,RP1-69M21.2,DAE
chr1,11384551,11384775,ENSG00000235643,lincRNA,RP1-69M21.2,DAE
chr1,11268419,11269230,ENSG00000116661,protein_coding,FBXO2,DAE
chr1,11269255,11269845,ENSG00000116661,protein_coding,FBXO2,DAE
chr1,11274698,11275550,ENSG00000116661,protein_coding,FBXO2,DAE
chr1,11278973,11279770,ENSG00000116661,protein_coding,FBXO2,DAE
chr1,11288527,11289171,ENSG00000116661,protein_coding,FBXO2,DAE
chr1,11289339,11289616,ENSG00000116661,protein_coding,FBXO2,DAE
chr1,11306263,11306815,ENSG00000116661,protein_coding,FBXO2,DAE
chr1,11372025,11372375,ENSG00000116661,protein_coding,FBXO2,DAE
chr1,11376359,11377050,ENSG00000116661,protein_coding,FBXO2,DAE
chr1,11384551,11384775,ENSG00000116661,protein_coding,FBXO2,DAE
chr1,11268419,11269230,ENSG00000132879,protein_coding,FBXO44,DAE
chr1,11269255,11269845,ENSG00000132879,protein_coding,FBXO44,DAE
chr1,11274698,11275550,ENSG00000132879,protein_coding,FBXO44,DAE
chr1,11278973,11279770,ENSG00000132879,protein_coding,FBXO44,DAE
chr1,11288527,11289171,ENSG00000132879,protein_coding,FBXO44,DAE
chr1,11289339,11289616,ENSG00000132879,protein_coding,FBXO44,DAE
chr1,11306263,11306815,ENSG00000132879,protein_coding,FBXO44,DAE
chr1,11372025,11372375,ENSG00000132879,protein_coding,FBXO44,DAE
chr1,11376359,11377050,ENSG00000132879,protein_coding,FBXO44,DAE
chr1,11384551,11384775,ENSG00000132879,protein_coding,FBXO44,DAE
chr1,11274698,11275550,ENSG00000116663,protein_coding,FBXO6,DAE
chr1,11278973,11279770,ENSG00000116663,protein_coding,FBXO6,DAE
chr1,11306263,11306815,ENSG00000116663,protein_coding,FBXO6,DAE
chr1,112310134,112311008,ENSG00000121933,protein_coding,ADORA3,DAE
chr1,113634620,113635117,ENSG00000116793,protein_coding,PHTF1,DAE
chr1,113638264,113638575,ENSG00000116793,protein_coding,PHTF1,DAE
chr1,113666963,113667261,ENSG00000116793,protein_coding,PHTF1,DAE
chr1,115650877,115651485,ENSG00000198765,protein_coding,SYCP1,DAE
chr1,116694639,116695009,ENSG00000233154,lincRNA,RP4-655J12.4,DAE
chr1,116709825,116710361,ENSG00000233154,lincRNA,RP4-655J12.4,DAE
chr1,116710465,116710851,ENSG00000233154,lincRNA,RP4-655J12.4,DAE
chr1,116710905,116711328,ENSG00000233154,lincRNA,RP4-655J12.4,DAE
chr1,118438256,118439137,ENSG00000198162,protein_coding,MAN1A2,DAE
chr1,119028725,119029345,ENSG00000116882,protein_coding,HAO2,DAE
chr1,12044500,12045489,ENSG00000116685,protein_coding,KIAA2013,DAE
chr1,12032712,12033263,ENSG00000083444,protein_coding,PLOD1,DAE
chr1,12356440,12357140,ENSG00000204518,protein_coding,AADACL4,DAE
chr1,14119025,14119289,ENSG00000204478,protein_coding,PRAMEF20,DAE
